ID_INMUEBLE,ID _ESTADO,ESTADO,NOMBRE_VIALIDAD,TIPO_VIALIDAD,NUMERO_EXTERIOR,NUMERO_INTERIOR,TIPO_ASENTAMIENTO,ID_LOCALIDAD,NOMBRE_LOCALIDAD,ID_MUNICIPIO,MUNICIPIO,CODIGO_POSTAL,NATURALEZA_INMUEBLE
68,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
69,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
70,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
71,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
72,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
73,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
74,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
75,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
76,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
77,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
78,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
79,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
80,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
81,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
82,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
83,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
84,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
85,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
86,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
87,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
88,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
89,13,Hidalgo,Circuito Girasoles,Calle,sin número,sin número,Colonia,0001,Atitalaquia,10,Atitalaquia,42970,Urbana
90,13,Hidalgo,Chimalman,Calle,sin número,sin número,Barrio,0006,Atitalaquia,10,Atitalaquia,42970,Urbana
91,13,Hidalgo,Principal La Bolsa,Calle,sin número,sin número,Pueblo,0001,Atitalaquia,10,Atitalaquia,42970,Urbana
92,13,Hidalgo,Manzanillo,Carretera,sin número,sin número,Barrio,0001,Atitalaquia,10,Atitalaquia,42970,Urbana
93,13,Hidalgo,"Puerto Ángel Manzana 3, Lotes 69 al 73",Calle,sin número,sin número,Unidad habitacional,0001,Atitalaquia,10,Atitalaquia,42970,Urbana
94,13,Hidalgo,Uno,Calle,sin número,sin número,Unidad habitacional,0001,Atotoilco El Grande,12,Atotonilco El Grande,43300,Urbana
95,13,Hidalgo,Rayo Velóz y Tajo de Nochistongo,Circuito,sin número,sin número,Unidad habitacional,0001,Atotonilco de Tula,13,Atotonilco de Tula,42995,Urbana
96,13,Hidalgo,Tajo de Nochistongo,Carretera,sin número,sin número,Unidad habitacional,0001,Atotonilco de Tula,13,Atotonilco de Tula,42994,Urbana
97,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Unidad habitacional,0001,Atotonilco de Tula,13,Atotonilco de Tula,42994,Urbana
98,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Unidad habitacional,0001,Atotonilco de Tula,13,Atotonilco de Tula,42995,Urbana
99,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Unidad habitacional,0001,Atotonilco de Tula,13,Atotonilco de Tula,42995,Urbana
100,13,Hidalgo,Domicilio conocido,Calle,1-A,sin número,Fraccionamiento,0001,Atotonilco de Tula,13,Atotonilco de Tula,42995,Urbana
101,13,Hidalgo,Domicilio conocido,Calle,2-A,sin número,Fraccionamiento,0001,Atotonilco de Tula,13,Atotonilco de Tula,42995,Urbana
102,13,Hidalgo,Domicilio conocido,Calle,4-A,sin número,Fraccionamiento,0001,Atotonilco de Tula,13,Atotonilco de Tula,42995,Urbana
103,13,Hidalgo,Domicilio conocido,Calle,5-A,sin número,Fraccionamiento,0001,Atotonilco de Tula,13,Atotonilco de Tula,42995,Urbana
104,13,Hidalgo,Domicilio conocido,Calle,8-A,sin número,Fraccionamiento,0001,Atotonilco de Tula,13,Atotonilco de Tula,42995,Urbana
105,13,Hidalgo,Jacarandas esquina Calle Xoyatla,Calle,sin número,sin número,Barrio,0001,Atotonilco de Tula,13,Atotonilco de Tula,42985,Urbana
106,13,Hidalgo,Domicilio conocido,Carretera,sin número,sin número,Ejido,0005,Atotonilco de Tula,13,Atotonilco de Tula,42988,Rústica
107,13,Hidalgo,López Mateos,Calle,sin número,sin número,Colonia,0005,Atotonilco de Tula,14,Calnali,43230,Rústica
108,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Pueblo,0010,Papatlatla,14,Calnali,43240,Rústica
109,13,Hidalgo,Benito Juárez y Rojo Gómez,Calle,sin número,sin número,Pueblo,0010,Cardonal,15,Cardonal,42970,Rústica
110,13,Hidalgo,Guadalupe,Carretera,sin número,sin número,Barrio,0001,Guadalupe,17,Chapantongo,42900,Urbana
111,13,Hidalgo,localidad La Loma,Calle,sin número,sin número,Pueblo,0001,Chapulhuacán,18,Chapulhuacán,42280,Rústica
112,13,Hidalgo,Carretera Chapulhuacán-La Loma,Carretera,sin número,sin número,Ranchería,0001,La Loma,18,Chapulhuacán,42280,Rústica
113,13,Hidalgo,Hidalgo,Calle,sin número,sin número,Colonia,0001,Cuartel,18,Chapulhuacán,42280,Rústica
114,13,Hidalgo,Sin nombre,Carretera,sin número,sin número,Ranchería,0018,La Alameda,20,Eloxochitlan,43335,Rústica
115,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Pueblo,0020,San Juan Tizahuapan,22,Epazoyucan,43585,Urbana
116,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Colonia,0017,El Mexe,23,Francisco I. Madero,42661,Rústica
117,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Ranchería,0008,San Juan Tepatepec,23,Francisco I. Madero,42671,Rústica
118,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Ranchería,0014,San Juan Tepatepec,23,Francisco I. Madero,42672,Rústica
119,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Rancho,0014,El Zembo,24,Huasca de Ocampo,43500,Rústica
120,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Rancho,0012,Ojo de Agua,24,Huasca de Ocampo,43510,Rústica
121,13,Hidalgo,Domicilio conocido,Carretera,sin número,sin número,Barrio,0036,Huautla,25,Huautla,43050,Rústica
122,13,Hidalgo,Luis Donaldo Colosio,Carretera,sin número,sin número,Barrio,0001,Huehuetla,27,Huehuetla,43420,Rústica
123,13,Hidalgo,Adolfo López Mateos esquina Jacarandas,Boulevard,27,sin número,Colonia,0001,Huejutla,28,Huejutla de Reyes,43000,Urbana
124,13,Hidalgo,Javier Rojo Gómez,Calle,3,sin número,Colonia,0001,Huejutla,28,Huejutla de Reyes,42086,Urbana
125,13,Hidalgo,Tetzacuatl,Calle,sin número,sin número,Ranchería,0001,Tetzacualt,28,Huejutla de Reyes,43002,Urbana
126,13,Hidalgo,Huejutla - Salohuiyaplan Kilómetro 107,Carretera,sin número,sin número,Colonia,0098,Chalahuiyapa,28,Huejutla de Reyes,43000,Urbana
127,13,Hidalgo,Circuito Palomitas,Calle,sin número,sin número,Rancho,0028,Huejutla,28,Huejutla de Reyes,43000,Urbana
128,13,Hidalgo,Pablo Anaya,Avenida,sin número,sin número,Rancho,0001,Huejutla,28,Huejutla de Reyes,43000,Rústica
129,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Ranchería,0094,Tepoxteco,28,Huejutla de Reyes,43000,Rústica
130,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Barrio,0094,Coacuilco,28,Huejutla de Reyes,43000,Rústica
131,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Ranchería,0001,Colalambre,28,Huejutla de Reyes,43000,Rústica
132,13,Hidalgo,Domicilio conocido,Camino,sin número,sin número,Exhacienda,0002,El Tepoxteco,28,Huejutla de Reyes,43000,Rústica
133,13,Hidalgo,Domicilio conocido,Carretera,sin número,sin número,Exhacienda,0002,El Tepoxteco,28,Huejutla de Reyes,43000,Rústica
134,13,Hidalgo,Fracciónamiento Pathesito,Calle,sin número,sin número,Barrio,0023,Tagui,29,Huichapan,42436,Rústica
135,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Barrio,0001,El Cajón,29,Huichapan,42411,Urbana
136,13,Hidalgo,La Cruz,Carretera,sin número,sin número,Barrio,0025,Huichapan,29,Huichapan,42422,Urbana
137,13,Hidalgo,"Francisco I. Madero, 1A Francisco I. Madero y 2A F",Carretera,248,sin número,Barrio,0006,Huichapan,29,Huichapan,42404,Urbana
138,13,Hidalgo,"Francisco I. Madero, 1A Francisco I. Madero y 2A F",Calle,sin número,sin número,Barrio,0001,Huichapan,29,Huichapan,42404,Urbana
139,13,Hidalgo,Domicilio conocido,Carretera,sin número,sin número,Colonia,0001,Huichapan,29,Huichapan,42434,Urbana
140,13,Hidalgo,Sin Nombre,Carretera,sin número,sin número,Barrio,0001,Huichapan,29,Huichapan,42443,Urbana
141,13,Hidalgo,Bondojito,Carretera,sin número,sin número,Barrio,0001,Huichapan,29,Huichapan,42400,Urbana
142,13,Hidalgo,Héroes de Chapultepec y calle Corregidora,Avenida,9,sin número,Colonia,0001,Ixmiquilpan,30,Ixmiquilpan,43305,Urbana
143,13,Hidalgo, Felipe Ángeles,Avenida,sin número,sin número,Colonia,0001,Ixmiquilpan,30,Ixmiquilpan,42300,Urbana
144,13,Hidalgo, Felipe Ángeles y Avenida Insurgentes,Avenida,22,sin número,Colonia,0001,Ixmiquilpan,30,Ixmiquilpan,42320,Urbana
145,13,Hidalgo,Camino al Nith,Carretera,sin número,sin número,Colonia,0001,Ixmiquilpan,30,Ixmiquilpan,42302,Rústica
146,13,Hidalgo, Felipe Ángeles y avenida Insurgentes.,Avenida,159,sin número,Colonia,0001,Ixmiquilpan,30,Ixmiquilpan,42300,Urbana
147,13,Hidalgo,Felipe Ángeles,Avenida,sin número,sin número,Colonia,0001,Ixmiquilpan,30,Ixmiquilpan,42300,Urbana
