ID_INMUEBLE,ID _ESTADO,ESTADO,OPERACION_ORIGEN,VALOR_CATASTRAL,TITULO_PROPIEDAD
51,13,Hidalgo,Compra no genera póliza solo se registra la alta,392335.03,"Escritura Pública número 3763, Volumen 79, Folio 15,617 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
52,13,Hidalgo,Compra no genera póliza solo se registra la alta,335715.25,"Escritura Pública número 3750, Volumen 78, Folio 15,523 de fecha 26 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
53,13,Hidalgo,Compra no genera póliza solo se registra la alta,24677327.4,Escritura Pública número 3675 de fecha 8 de junio de 2017.
54,13,Hidalgo,Compra no genera póliza solo se registra la alta,9689453.64,Escritura Pública número 3668 de fecha 7 de junio de 2017.
55,13,Hidalgo,Compra no genera póliza solo se registra la alta,8911710.36,"Escritura Pública número 3676 de fecha 8 de junio de 2017, inscrita bajo el número 997, Tomo I, Libro I, Sección I de fecha 26 de junio de 2017."
56,13,Hidalgo,Compra no genera póliza solo se registra la alta,6657766.85,"Escritura Pública número 3795 de fecha 13 de julio de 2017, inscrita bajo el número 1163, Tomo I, Libro I, Sección I de fecha 14 de julio de 2017"
57,13,Hidalgo,Compra no genera póliza solo se registra la alta,21006936.91,Escritura Pública número 3680 de fecha 8 de junio de 2017.
58,13,Hidalgo,Compra no genera póliza solo se registra la alta,357278.62,Escritura Pública número 3722 de fecha 8 de junio de 2017.
59,13,Hidalgo,Compra no genera póliza solo se registra la alta,6857074.48,"Escritura Pública número 3710, Volumen, 77, Folio número 15,246 de fecha 9 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
60,13,Hidalgo,Compra no genera póliza solo se registra la alta,9008791.22,"Escritura Pública número 3720n Volumen 77, Folio 15,337 de fecha 9 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
61,13,Hidalgo,Compra no genera póliza solo se registra la alta,27358651.18,"Escritura Pública número 3728, Volumen 78, Folio 15,409 de fecha 10 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
62,13,Hidalgo,Compra no genera póliza solo se registra la alta,10162525.66,"Escritura Pública número 3727, Volumen 78, Folio 15,401 de fecha 10 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
63,13,Hidalgo,Compra no genera póliza solo se registra la alta,1148161.52,"Escritura Pública número 3730, Volumen 78, Folio 15,426 de fecha 10 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
64,13,Hidalgo,Compra no genera póliza solo se registra la alta,11669546.31,"Escritura Pública número 3717, Volumen 77, Folio 15313 de fecha 9 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
65,13,Hidalgo,Compra no genera póliza solo se registra la alta,6252518.61,"Escritura Pública número 3652, Volumen 3652, Folio 14790 de fecha 2 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
66,13,Hidalgo,Compra no genera póliza solo se registra la alta,2674117.09,"Escritura Pública número 3691, Volumen 76, folio 15,101 de fecha 8 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
67,13,Hidalgo,Compra no genera póliza solo se registra la alta,1078979.6,"Escritura Pública número 3686, Volumen 76, Folio 15061 de fecha 8 de junio de 2017., ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
68,13,Hidalgo,Compra no genera póliza solo se registra la alta,408876.55,"Escritura Pública número 3752, Volumen 78, Folio 15539 de fecha 26 de junio de 2017,ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
69,13,Hidalgo,Compra no genera póliza solo se registra la alta,1145622.05,"Escritura Pública número 3757, Volumen 78, folio 3757 de fecha 26 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
70,13,Hidalgo,Compra no genera póliza solo se registra la alta,512395.35,"Escritura Pública número 3753, Volumen 78, Folio 15,547 de fecha 26 de junio de 2017,ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
71,13,Hidalgo,Compra no genera póliza solo se registra la alta,765406.03,"Escritura Pública número 3755, Volumen 78, folio 15563 de fecha 26 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
72,13,Hidalgo,Compra no genera póliza solo se registra la alta,985532.18,"Escritura Pública número 3747, Volumen 78, Folio 15497 de fecha 26 de junio de 2017.,ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
73,13,Hidalgo,Compra no genera póliza solo se registra la alta,1104030.92,"Escritura Pública número 3754 Volumen 78, Folio 15,555 de fecha 26 de junio de 2017., ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
74,13,Hidalgo,Compra no genera póliza solo se registra la alta,72028.04,"Escritura Pública número 3758 Volumen 78, Folio 15587 de fecha 26 de junio de 2017., ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
75,13,Hidalgo,Compra no genera póliza solo se registra la alta,929386.86,"Escritura Pública número 3761, Volumen 79, Folio 15,601 de fecha 26 de junio de 2017., ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
76,13,Hidalgo,Compra no genera póliza solo se registra la alta,284598.87,"Escritura Pública número 3756, Volumen 78, Folio 15,571 de fecha 26 de junio de 2017, Ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
77,13,Hidalgo,Compra no genera póliza solo se registra la alta,280840.1,"Escritura Pública número 3748, volumen 78, Folio 15,506 de fecha 26 de junio de 2017., ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
78,13,Hidalgo,Compra no genera póliza solo se registra la alta,1173561.47,"Escritura Pública número 3888, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
79,13,Hidalgo,Compra no genera póliza solo se registra la alta,1604712.21,"Escritura Pública número 3889, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
80,13,Hidalgo,Compra no genera póliza solo se registra la alta,1740564.94,"Escritura Pública número 3958, volumen 84 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
81,13,Hidalgo,Compra no genera póliza solo se registra la alta,825513.52,"Escritura Pública número 3887, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
82,13,Hidalgo,Compra no genera póliza solo se registra la alta,1053167.55,"Escritura Pública número 3971, volumen 84 de fecha 22 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
83,13,Hidalgo,Compra no genera póliza solo se registra la alta,240500.99,"Escritura Pública número 3886, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
84,13,Hidalgo,Compra no genera póliza solo se registra la alta,495301.49,"Escritura Pública número 3959, volumen 84 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
85,13,Hidalgo,Compra no genera póliza solo se registra la alta,2342629.95,"Escritura Pública número 3908, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
86,13,Hidalgo,Compra no genera póliza solo se registra la alta,1470506.46,"Escritura Pública número 3890, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
87,13,Hidalgo,Compra no genera póliza solo se registra la alta,2092169.93,"Escritura Pública número 3891, volumen 82 de fecha 07 de septiembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
88,13,Hidalgo,Compra no genera póliza solo se registra la alta,895953.3,"Escritura Pública número 4147, volumen 88 de fecha 19 de diciembre de 2017 ante la Notaría Pública número 11 de Tulancingo de Bravo, Hidalgo."
89,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,25889.31,"Escritura Pública número 323, Volúmen 5to. de fecha 16 de octubre de 1968, Notaría Pública número 1 de Tula de Allende, Hidalgo."
90,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,417191.12,"Escritura Pública número 3613, Volúmen 52 de fecha 16 de diciembre del 1987, ante la Notaría Pública número 1 de Mixquiahuala de Juárez, Hidalgo."
91,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,23528.33,"Escritura Pública número 7645, Volúmen 88 de fecha 31 de mayo de 1988, ante la Notaría Pública número 1 de Tula de Allende, Hidalgo."
92,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,86295.33,"Escritura Pública número 9706, Volúmen 276, 32 juego, Fojas número 231 de fecha 8 de diciembre de 1997, ante la Notaría Pública número 5 de Tepeji del Río, Hidalgo."
93,13,Hidalgo,Procedimiento de Ejecución Fiscal,178889.76,"Escritura Pública número 4209, Volúmen 65 de fecha 15 de octubre de 2002, ante la Notaría Pública número 3 de Tulancingo, Hidalgo."
94,13,Hidalgo,Compra no genera póliza solo se registra la alta,470226980.2,"Escritura Pública número 19,991, Volúmen 401 de fecha 31 de marzo de 2010, ante la fe del Lic. delia Bibiana Tejeda Cruz Notario adscrito a la Notaría Pública número 2 de Atotonilco El Grande Hidalgo."
95,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,113910379.4,"Escritura Pública número 10524, Volúmen 294 34 de fecha 26 de febrero de 1999, ante la fe del Lic. José de Valle Alvarado del Patrimonio Inmueble Federal Titular de la Notaría Pública número 5 de Tepeji del Río, Hidalgo."
96,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,48218.73,
97,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,2276787.93,"Escritura Pública número 21353, Libro 877, Folios 7359-7363  de Fecha 20 de Abril de 2012, ante la Notaría Pública número 6 de Pachuca de Soto, Hidalgo.2.- Escritura Pública número 21825, Libro 890, Folios 9820-9824 de fecha 08 de febrero de 2013, ante la  Notaría Pública número 6 de Pachuca de Soto, Hidalgo."
98,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,5279400.52,"1.-Escritura Pública número 21,351, Libro 877, Folios 7347-7352 de Fecha 20 de Abril de 2012, Notaría Pública número 6 de Pachuca de Soto, Hidalgo.2.- Escritura Pública número 21,824, Libro 890, Folios 9815-9819 de Fecha 08 de Febrero de 2013, Notaría Pública número 6 de Pachuca de Soto, Hidalgo.3.- Escritura Pública número 17656, vol 916  de fecha 19 de agosto de 2013,ante  la Notaría Pública número 6 de Pachuca de Soto, Hidalgo."
99,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,1118810.4,"Escritura Pública número 17655, Volúmen 916 de fecha 19 de agosto de 2013, ante la  Notaría Pública número 14 de Pachuca de Soto, Hidalgo."
100,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,1430167.6,"Escritura Pública número 32529, Volúmen 2481 de fecha 28 de septiembre de 2018, ante la  Notaría Pública número 5 deTizayuca, Hidalgo."
101,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,834651.6,"Escritura Pública número 32529, Volúmen 2481 de fecha 28 de septiembre de 2018, ante la  Notaría Pública número 5 deTizayuca, Hidalgo."
102,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,941380.8,"Escritura Pública número 32529, Volúmen 2481 de fecha 28 de septiembre de 2018, ante la  Notaría Pública número 5 deTizayuca, Hidalgo."
103,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,322000,"Escritura Pública número 32529, Volúmen 2481 de fecha 28 de septiembre de 2018, ante la  Notaría Pública número 5 deTizayuca, Hidalgo."
104,13,Hidalgo,Donación a favor de Gobierno del Estado de Hidalgo,497784.4,"Escritura Pública número 32529, Volúmen 2481 de fecha 28 de septiembre de 2018, ante la  Notaría Pública número 5 deTizayuca, Hidalgo."
105,13,Hidalgo,Procedimiento de Ejecución Fiscal,117619.94,"Escritura Pública número 15667, Volúmen 247 de fecha 02 de octubre de 1997, ante la Notaría Pública número 4 de Tula de Allende, Hidalgo."
