ID_INMUEBLE,INSTITUCIÓN_A_CARGO_DEL_INMUEBLE,TITULO_PROPIEDAD
59,Oficialía Mayor,"Escritura Pública número 3710, Volumen, 77, Folio número 15,246 de fecha 9 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
60,Oficialía Mayor,"Escritura Pública número 3720n Volumen 77, Folio 15,337 de fecha 9 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
61,Oficialía Mayor,"Escritura Pública número 3728, Volumen 78, Folio 15,409 de fecha 10 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
62,Oficialía Mayor,"Escritura Pública número 3727, Volumen 78, Folio 15,401 de fecha 10 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
63,Oficialía Mayor,"Escritura Pública número 3730, Volumen 78, Folio 15,426 de fecha 10 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
64,Oficialía Mayor,"Escritura Pública número 3717, Volumen 77, Folio 15313 de fecha 9 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
65,Oficialía Mayor,"Escritura Pública número 3652, Volumen 3652, Folio 14790 de fecha 2 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
66,Oficialía Mayor,"Escritura Pública número 3691, Volumen 76, folio 15,101 de fecha 8 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
67,Oficialía Mayor,"Escritura Pública número 3686, Volumen 76, Folio 15061 de fecha 8 de junio de 2017., ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
68,Oficialía Mayor,"Escritura Pública número 3752, Volumen 78, Folio 15539 de fecha 26 de junio de 2017,ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
69,Oficialía Mayor,"Escritura Pública número 3757, Volumen 78, folio 3757 de fecha 26 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
70,Oficialía Mayor,"Escritura Pública número 3753, Volumen 78, Folio 15,547 de fecha 26 de junio de 2017,ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
71,Oficialía Mayor,"Escritura Pública número 3755, Volumen 78, folio 15563 de fecha 26 de junio de 2017, ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
72,Oficialía Mayor,"Escritura Pública número 3747, Volumen 78, Folio 15497 de fecha 26 de junio de 2017.,ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
73,Oficialía Mayor,"Escritura Pública número 3754 Volumen 78, Folio 15,555 de fecha 26 de junio de 2017., ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
74,Oficialía Mayor,"Escritura Pública número 3758 Volumen 78, Folio 15587 de fecha 26 de junio de 2017., ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
75,Oficialía Mayor,"Escritura Pública número 3761, Volumen 79, Folio 15,601 de fecha 26 de junio de 2017., ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
76,Oficialía Mayor,"Escritura Pública número 3756, Volumen 78, Folio 15,571 de fecha 26 de junio de 2017, Ante la Notaría número 11, municipio de Tulancingo de Bravo, Hidalgo."
