ID_INMUEBLE,ID _ESTADO,ESTADO,DENOMINACIÓN_INMUEBLE,NOMBRE_VIALIDAD,TIPO_ASENTAMIENTO,NATURALEZA_INMUEBLE,TIPO_INMUEBLE,USO_INMUEBLE
136,13,Hidalgo,Predio Urbano La Cruz,La Cruz,Barrio,Urbana,Terreno,"Baldío, cuenta con una construcción abandonada bodega "
137,13,Hidalgo,Predio Rústico El Calvario,"Francisco I. Madero, 1A Francisco I. Madero y 2A F",Barrio,Urbana,Edificación,"Oficinas de la Coordinación Regional, Dirección General de Seguridad Pública,  Vivero, Parque de Materiales"
138,13,Hidalgo,Áreas en Fracciónamiento El Calvario,"Francisco I. Madero, 1A Francisco I. Madero y 2A F",Barrio,Urbana,Terreno,Baldío
139,13,Hidalgo,Predio Rústico Fracción de San José Boye,Domicilio conocido,Colonia,Urbana,Terreno,Baldío
140,13,Hidalgo,Ex-Hacienda de Bondojito,Sin Nombre,Barrio,Urbana,Edificación,Maquiladora
141,13,Hidalgo,Predio Rústico Bondojito,Bondojito,Barrio,Urbana,Edificación,Pista de aterrizaje
142,13,Hidalgo,Predio El Paredón,Héroes de Chapultepec y calle Corregidora,Colonia,Urbana,Edificación,"Coordinación de Seguridad Estatal, Conservación de Carreteras Estatales"
143,13,Hidalgo,Predio Urbano El Molino y Las Flores, Felipe Ángeles,Colonia,Urbana,Edificación,Estación de Radio y Televisión de Hidalgo
144,13,Hidalgo,Predio Ubano El Molino y Las Flores, Felipe Ángeles y Avenida Insurgentes,Colonia,Urbana,Edificación,"Tribunal Superior de Justicia del Estado de Hidalgo, Juzgado Civil y Familiar de Ixmiquilpan, Instalaciones del COBAEH, Oficinas de la SAGARPA, Sistema de Administración Tributaria, Comisión de Agua"
145,13,Hidalgo,Predio Rústico Santa Alicia,Camino al Nith,Colonia,Rústica,Terreno,Telesecundaria número 750
146,13,Hidalgo,Predio Urbano El Molino y Las Flores, Felipe Ángeles y avenida Insurgentes.,Colonia,Urbana,Edificación,"Oficinas de la Coordinación Regional, CRAC Ixmiquilpan, Registro Público de la Propiedad, Casa de Día, Museo"
147,13,Hidalgo,Predio Urbano El Molino y Las Flores,Felipe Ángeles,Colonia,Urbana,Edificación,Biblioteca Pública Regional
148,13,Hidalgo,Áreas en Fracciónamiento Los Nogales,Eucalipto esquina con Sauz,Barrio,Urbana,Edificación,Escuela de Educación Especial número 09
149,13,Hidalgo,Predio Rústico San Rafael,Insurgentes,Barrio,Urbana,Terreno,Unidad deportiva
150,13,Hidalgo,Áreas en Fracciónamiento Los Sabinos,Domicilio conocido,Unidad habitacional,Urbana,Terreno,"Centro de Atención Psicopedagógica de Educación Preescolar, Jardín de Niños Carmen Ramos del Río"
151,13,Hidalgo,Predio Urbano El Mirador,Avenida Insurgentes y Héroes de Chapultepec,Colonia,Urbana,Edificación,Bodega
152,13,Hidalgo,Predio Rústico Camino Barrido,Ixmiquilpan - Capula ,Colonia,Rústica,Edificación,"Antena de Radio y Televisión, Instalaciones de la Universidad Tecnológica del Valle del Mezquital"
153,13,Hidalgo,Predio Urbano La Nuez y El Solar,Ignacio Allende entre avenida Insurgentes y Franc,Barrio,Urbana,Edificación,"Oficinas de los Servicios de Salud, Jardín de Niños Club de Leónes"
154,13,Hidalgo,Predio Urbano Buena Vista,Villahermosa y Platino,Colonia,Urbana,Terreno,Escuela Primaria Luis Donaldo Colosio
155,13,Hidalgo,Predio Urbano Milpa de Flores,Corregidora y Héroes de Chapultepec,Colonia,Urbana,Edificación,"Oficinas de la Subsecretaría de Gobernación en el Valle del Mezquital,  Cruz Roja,  Local ICATHI,  Asociación denomidana Unidad de la Fuerza Indigena y Campesina,  Procuraduría de la defensa del Menor"
156,13,Hidalgo,Predio Rústico San Vicente y San Vicente,Lorenzo de Zavala,Barrio,Rústica,Edificación,Escuela Primaria Ignacio Zaragoza
157,13,Hidalgo,Predio Urbano La Palma,Domicilio conocido,Ranchería,Urbana,Terreno,Parque de diversiones acuáticas El Nuevo Tephé
158,13,Hidalgo,Predio Urbano El Higo,Domicilio conocido,Pueblo,Urbana,Terreno,Parque de diversiones acuáticas El Nuevo Tephé
159,13,Hidalgo,Áreas en Fracciónamiento La Purísima,Ciruelos y Adolfo López Mateos,Unidad habitacional,Urbana,Terreno,"Cancha de usos múltiples, vialidad, Centro de desarrollo IMSS, baldío."
160,13,Hidalgo,Predio Urbano El Molino y Las Flores,Felipe Ángeles,Colonia,Urbana,Edificación,Oficinas de la Jefatura Sector II de la Secretaría de Educación Pública
161,13,Hidalgo,Predio Rústico El debodhe,Entre Capula y Bangathó,Pueblo,Rústica,Edificación,Presa
162,13,Hidalgo,Predio Urbano Allende,Allende,Colonia,Urbana,Edificación,Centro de Salud
163,13,Hidalgo,Predio Urbano en Aquíles Serdán Fracción I,Aquíles Serdán,Colonia,Urbana,Terreno,Secundaria Técnica número 16
164,13,Hidalgo,Predio Urbano en Aquíles Serdán Fracción II,Aquíles Serdán,Colonia,Urbana,Terreno,Universidad Pedagógica Naciónal
165,13,Hidalgo,Predio Urbano en Aquíles Serdán Fracción III,Aquíles Serdán,Colonia,Urbana,Terreno,Centro de desarrollo Educativo
166,13,Hidalgo,Predio San Nicolás,Domicilio conocido,Pueblo,Urbana,Terreno,Baldío
167,13,Hidalgo,Predio Urbano Pino Suárez,Revolución Matamoros y Pino Suárez,Colonia,Urbana,Edificación,Casa de Cultura
168,13,Hidalgo,Predio Rústico La Lima,Camino Real Orizatlán-Huejutla,Ranchería,Urbana,Edificación,Centro de Reinserción Social
169,13,Hidalgo,Predio Rústico Xaltepec,Domicilio conocido,Ranchería,Rústica,Terreno,Asentamientos Humanos
170,13,Hidalgo,Predio Rústico Las Granjas,Domicilio conocido,Ranchería,Rústica,Terreno,Asentamientos Humanos
171,13,Hidalgo,Áreas en Fracciónamiento Presidentes de México,Camino a Honey Puebla,Fraccionamiento,Urbana,Terreno,Baldío
172,13,Hidalgo,Predio Urbano Casa Vieja,Morelos,Barrio,Urbana,Edificación,Escuela Secundaria General Nicandro Castillo
173,13,Hidalgo,Predio Rústico La Ciénega,Domicilio conocido,Ranchería,Rústica,Terreno,Baldío
174,13,Hidalgo,Áreas en Fracciónamiento Campestre La Estanzuela,Encarnación Monzalvo,Pueblo,Urbana,Terreno,Baldío
175,13,Hidalgo,Áreas en Fracciónamiento Bosques de San Cayetano,Carretera Pachuca Tampico Kilómetro. 13.2,Unidad habitacional,Urbana,Terreno,Baldío
176,13,Hidalgo,Áreas en Fracciónamiento Calicanto,Carretera Pachuca-Tampico,Ranchería,Urbana,Terreno,Baldío bosque
177,13,Hidalgo,"Predio Rústico La Cruz, El Divino Rostro y Picacho",Tezoantla y Santa Rosalía,Barrio,Rústica,Terreno,Baldío
178,13,Hidalgo,Predio Rústico Palo Hueco,Domicilio conocido,Ranchería,Rústica,Terreno,Baldío
179,13,Hidalgo,Predio Rústico Casas Quemadas,Domicilio conocido,Barrio,Urbana,Terreno,Baldío
180,13,Hidalgo,Predio Rústico El Portezuelo,Domicilio conocido,Barrio,Urbana,Terreno,Baldío
181,13,Hidalgo,Predio Rústico La Mesa,Domicilio conocido,Ranchería,Urbana,Terreno,Consttucción de la Escuela Primaria General Leóna Vicario
182,13,Hidalgo,Casa en Teodomiro Manzano,Teodomiro Manzano,Colonia,Urbana,Edificación,Casa de la Cultura
183,13,Hidalgo,Predio Tanque Dificultad,Pahuca-Tampico kilómetro 11 con camino,Barrio,Urbana,Edificación,Tanque de Almacenamiento.
184,13,Hidalgo,Predio Rústico Casas Quemadas,Entre la carretera a Pachuca-Mineral del Chico y Pachuca-Huejutla,Barrio,Urbana,Edificación,Caseta de Vigilancia
185,13,Hidalgo,Predio Rústico Campellanía Grande,Boulevard Paseo del Agrarismo,Ranchería,Rústica,Terreno,Baldío
186,13,Hidalgo,Predio Urbano Camposanto,Avenida Reforma,Barrio,Urbana,Terreno,Jardín de Niños 20 de noviembre
187,13,Hidalgo,Predio Rústico en la Colonia Veracruz,Veracruz,Colonia,Rústica,Terreno,Baldío
188,13,Hidalgo,Predio Urbano Solar y Casa,Hidalgo,Barrio,Urbana,Edificación,Casa Habitación a cargo de la Dirección General de Gobernación
189,13,Hidalgo,Predio Urbano El Solar y Huerta,Corregidora,Barrio,Urbana,Edificación,"Dirección General de Seguridad Pública,  Coordinación Regional, Supervisión Escolar"
190,13,Hidalgo,Predio En calle Altamirano,Altamirano,Colonia,Urbana,Terreno,Baldío
191,13,Hidalgo,Predio Rústico Atlalaquia Fracción I,Domicilio conocido,Barrio,Urbana,Terreno,Baldío
192,13,Hidalgo,Predio Rústico San Miguel Xochico (Huerta Xochico),Domicilio conocido,Barrio,Rústica,Terreno,Baldío
193,13,Hidalgo,Predio Rústico Los Potreritos,Domicilio conocido,Barrio,Rústica,Terreno,Baldío
194,13,Hidalgo,Predio Rústico Cuamila Atlalaquia I,Domicilio conocido,Barrio,Rústica,Terreno,CBTA número 6 Atlalaquia
195,13,Hidalgo,Predio Rústico Cuamila Atlalaquia II,Domicilio conocido,Barrio,Rústica,Terreno,Baldío
196,13,Hidalgo,Predio Rústico Cuatlacalca II,Domicilio conocido,Barrio,Rústica,Terreno,baldio
197,13,Hidalgo,Predio Rústico Atlalaquia Fracción II,Domicilio conocido,Barrio,Rústica,Terreno,Baldío
198,13,Hidalgo,Predio Rústico Solar y Solar,Avenida Corregidora carretera Atezca-Molango,Colonia,Rústica,Edificación,Pista de aterrizaje
199,13,Hidalgo,Predio Rústico Cuatlacalca,Carretera Molango-Atezca,Barrio,Rústica,Edificación,Centro de Reincersión Social
